Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Genevieve Cohen,competitions-view?id=888,Genevieve Cohen,1993,08/01/2015,New Jersey State Championships,5.,R-JR,-63,60.10,97.5,-105,-105,-60,65,-67.5,110,117.5,127.5,290,322.89
Tessia De Mattos,competitions-view?id=1354,Tessia De Mattos,1993,10/13/2016,Raw Nationals 2016,9.,R-JR,-57,56.14,110,117.5,-120,52.5,55,57.5,120,-130,-130,295,346.42
Tessia De Mattos,competitions-view?id=1198,Tessia De Mattos,1993,04/30/2016,SBWC Spring Classic,5.,R-O,-57,56.20,105,112.5,-117.5,50,55,-57.5,120,125,132.5,300,351.99
Tessia De Mattos,competitions-view?id=1079,Tessia De Mattos,1993,01/23/2016,Northeast Iron Beast USA Powerlifting Winter Classic III,1.,R-JR,-57,55.40,102.5,110,115,50,55,-57.5,120,125,-127.5,295,350.05
Tessia De Mattos,competitions-view?id=992,Tessia De Mattos,1993,10/15/2015,2015 Raw Nationals,7.,R-JR,-57,54.90,105,112.5,-115,47.5,52.5,55,112.5,120,127.5,295,352.53
Tessia De Mattos,competitions-view?id=838,Tessia De Mattos,1993,04/25/2015,SBWC Raw Open Powerlifting Spring Classic 2015,1.,R-JR,-57,55.10,102.5,107.5,-115,42.5,47.5,-50,105,112.5,117.5,272.5,324.71
Tessia De Mattos,competitions-view?id=862,Tessia De Mattos,1993,04/25/2015,SBWC Raw Open Powerlifting Spring Classic 2015,1.,R-JR,-57,55.10,102.5,107.5,-115,42.5,47.5,-50,105,112.5,117.5,272.5,324.71
Tessia De Mattos,competitions-view?id=761,Tessia De Mattos,1993,01/25/2015,Northeast Iron Beast Winter Classic II,1.,R-JR,-57,55.40,110,,,47.5,,,115,,,272.5,323.35
Tessia De Mattos,competitions-view?id=724,Tessia De Mattos,1993,10/18/2014,SBWC Raw Open Powerlifting Fall Classic 2014,1.,R-JR,-56,54.90,100,,,47.5,,,110,,,257.5,307.71
Samantha Amorim,competitions-view?id=1354,Samantha Amorim,1995,10/13/2016,Raw Nationals 2016,10.,R-JR,-57,55.61,92.5,97.5,102.5,57.5,60,62.5,115,125,-130,290,343.10
Miranda Lovett,competitions-view?id=1354,Miranda Lovett,1994,10/13/2016,Raw Nationals 2016,11.,R-JR,-57,55.04,87.5,-95,97.5,50,55,-57.5,127.5,135,-142.5,287.5,342.90
Miranda Lovett,competitions-view?id=992,Miranda Lovett,1994,10/15/2015,2015 Raw Nationals,6.,R-JR,-52,50.90,80,87.5,92.5,45,50,-52.5,122.5,132.5,-137.5,275,348.51
Miranda Lovett,competitions-view?id=855,Miranda Lovett,1994,05/30/2015,MA & RI Open State Championships,1.,R-JR,-52,51.30,-82.5,82.5,55,42.5,50,,120,125,-127.5,257.5,324.37
