Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Lauren Shortell,competitions-view?id=389,Lauren Shortell,1991,05/04/2014,1st Annual USAPL Connecticut Spring Classic,1.,R-JR,-67.5,65.80,82.5,,,57.5,,,140,,,280,291.12
Lauren Shortell,competitions-view?id=378,Lauren Shortell,1991,02/22/2014,Winter Classic,2.,R-JR,-67.5,67.40,82.5,,,55,,,137.5,,,275,280.97
Lauren Shortell,competitions-view?id=506,Lauren Shortell,1991,04/08/2013,3rd Annual Boston Open,-,R-JR,-67.5,66.80,77.5,,,55,,,125,,,257.5,264.79
Danielle Ternet,competitions-view?id=992,Danielle Ternet,1992,10/15/2015,2015 Raw Nationals,13.,R-JR,-63,62.30,102.5,-120,-120,75,-82.5,82.5,125,135,-142.5,320,346.59
Danielle Ternet,competitions-view?id=1055,Danielle Ternet,1992,07/12/2015,2015 USAPL Ohio State Championships,4.,R-O,-63,61.50,87.5,97.5,107.5,65,72.5,77.5,120,127.5,137.5,322.5,352.78
Elaine Perreault,competitions-view?id=992,Elaine Perreault,1992,10/15/2015,2015 Raw Nationals,14.,R-JR,-63,62.80,107.5,115,120,52.5,57.5,-60,122.5,135,142.5,320,344.48
Rosalie Hudson,competitions-view?id=992,Rosalie Hudson,0000,10/15/2015,2015 Raw Nationals,15.,R-JR,-63,60.90,112.5,120,-122.5,-47.5,52.5,-57.5,132.5,140,145,317.5,349.92
Maria Blazek,competitions-view?id=992,Maria Blazek,1993,10/15/2015,2015 Raw Nationals,16.,R-JR,-63,59.80,95,105,110,67.5,72.5,-75,120,127.5,132.5,315,352.11
Elaine Wang,competitions-view?id=992,Elaine Wang,1991,10/15/2015,2015 Raw Nationals,37.,R-O,-63,62.70,100,107.5,-115,60,65,-70,122.5,132.5,142.5,315,339.54
Elaine Wang,competitions-view?id=1612,Elaine Wang,1991,04/11/2015,2015 Equinox Open,2.,R-O,-57,56.90,102.5,-112.5,-112.5,55,62.5,-67.5,125,137.5,147.5,312.5,363.13
Elaine Wang,competitions-view?id=731,Elaine Wang,1991,11/01/2014,2014 Maryland State Powerlifting Championship,1.,R-JR,-60,57.10,112.5,,,65,,,145,,,322.5,373.71
Elaine Wang,competitions-view?id=860,Elaine Wang,1991,07/17/2014,2014 Raw Nationals,2.,R-JR,-57,56.90,100,110,-117.5,55,60,-65,-120,120,132.5,302.5,351.51
Elaine Wang,competitions-view?id=381,Elaine Wang,1991,04/12/2014,2014 Equinox Open,1.,R-JR,-56,55.50,110,,,60,,,137.5,,,307.5,364.36
